"state","id","name","pib_current","population","pib_percapita"
"Rondônia",1100015,"Alta Floresta D'Oeste",262077,24422,10731.18
"Rondônia",1100023,"Ariquemes",1364694,90354,15103.86
"Rondônia",1100031,"Cabixi",69611,6309,11033.62
"Rondônia",1100049,"Cacoal",1186494,78601,15095.15
"Rondônia",1100056,"Cerejeiras",222021,17030,13037.06
"Rondônia",1100064,"Colorado do Oeste",193093,18602,10380.21
"Rondônia",1100072,"Corumbiara",114768,8802,13038.89
"Rondônia",1100080,"Costa Marques",107583,13700,7852.78
"Rondônia",1100098,"Espigão D'Oeste",311788,28741,10848.19
"Rondônia",1100106,"Guajará-Mirim",598167,41646,14363.13
"Rondônia",1100114,"Jaru",797296,52043,15319.96
"Rondônia",1100122,"Ji-Paraná",1855359,116587,15913.94
"Rondônia",1100130,"Machadinho D'Oeste",272201,31107,8750.47
"Rondônia",1100148,"Nova Brasilândia D'Oeste",173651,19845,8750.38
"Rondônia",1100155,"Ouro Preto do Oeste",477501,37941,12585.36
"Rondônia",1100189,"Pimenta Bueno",540862,33754,16023.63
"Rondônia",1100205,"Porto Velho",9093824,426558,21319.08
"Rondônia",1100254,"Presidente Médici",235589,22319,10555.53
"Rondônia",1100262,"Rio Crespo",41934,3316,12645.97
"Rondônia",1100288,"Rolim de Moura",627848,50672,12390.44
"Rondônia",1100296,"Santa Luzia D'Oeste",98818,8886,11120.68
"Rondônia",1100304,"Vilhena",1447187,76187,18995.2
"Rondônia",1100320,"São Miguel do Guaporé",324476,21824,14867.85
"Rondônia",1100338,"Nova Mamoré",218431,22552,9685.67
"Rondônia",1100346,"Alvorada D'Oeste",160689,16864,9528.51
"Rondônia",1100379,"Alto Alegre dos Parecis",119974,12826,9353.97
"Rondônia",1100403,"Alto Paraíso",152235,17144,8879.79
"Rondônia",1100452,"Buritis",336265,32385,10383.35
"Rondônia",1100502,"Novo Horizonte do Oeste",95420,10237,9321.1
"Rondônia",1100601,"Cacaulândia",76701,5727,13392.84
"Rondônia",1100700,"Campo Novo de Rondônia",120440,12669,9506.68
"Rondônia",1100809,"Candeias do Jamari",228321,19782,11541.88
"Rondônia",1100908,"Castanheiras",39936,3581,11152.28
"Rondônia",1100924,"Chupinguaia",165716,8304,19956.21
"Rondônia",1100940,"Cujubim",210218,15873,13243.73
"Rondônia",1101005,"Governador Jorge Teixeira",111130,10513,10570.72
"Rondônia",1101104,"Itapuã do Oeste",90690,8561,10593.45
"Rondônia",1101203,"Ministro Andreazza",99692,10354,9628.4
"Rondônia",1101302,"Mirante da Serra",114869,11869,9678.04
"Rondônia",1101401,"Monte Negro",143417,14090,10178.62
"Rondônia",1101435,"Nova União",70739,7498,9434.33
"Rondônia",1101450,"Parecis",49986,4810,10392.15
"Rondônia",1101468,"Pimenteiras do Oeste",43812,2322,18868.24
"Rondônia",1101476,"Primavera de Rondônia",35105,3523,9964.65
"Rondônia",1101484,"São Felipe D'Oeste",58727,6018,9758.55
"Rondônia",1101492,"São Francisco do Guaporé",173610,16019,10837.73
"Rondônia",1101500,"Seringueiras",117281,11649,10067.89
"Rondônia",1101559,"Teixeirópolis",50001,4893,10218.91
"Rondônia",1101609,"Theobroma",105535,10644,9915.02
"Rondônia",1101708,"Urupá",121359,12969,9357.65
"Rondônia",1101757,"Vale do Anari",91480,9361,9772.49
"Rondônia",1101807,"Vale do Paraíso",89263,8218,10861.88
"Acre",1200013,"Acrelândia",121915,12538,9723.62
"Acre",1200054,"Assis Brasil",42017,6075,6916.45
"Acre",1200104,"Brasiléia",190699,21438,8895.37
"Acre",1200138,"Bujari",86265,8474,10179.96
"Acre",1200179,"Capixaba",108531,8810,12319.08
"Acre",1200203,"Cruzeiro do Sul",771040,78444,9829.18
"Acre",1200252,"Epitaciolândia",144997,15126,9585.95
"Acre",1200302,"Feijó",200521,32311,6205.96
"Acre",1200328,"Jordão",41234,6531,6313.58
"Acre",1200336,"Mâncio Lima",95419,15246,6258.61
"Acre",1200344,"Manoel Urbano",55803,7989,6984.96
"Acre",1200351,"Marechal Thaumaturgo",96005,14200,6760.91
"Acre",1200385,"Plácido de Castro",132633,17203,7709.86
"Acre",1200393,"Porto Walter",60318,9172,6576.28
"Acre",1200401,"Rio Branco",5125851,335796,15264.78
"Acre",1200427,"Rodrigues Alves",124221,14334,8666.21
"Acre",1200435,"Santa Rosa do Purus",35855,4612,7774.32
"Acre",1200450,"Senador Guiomard",184620,20153,9160.9
"Acre",1200500,"Sena Madureira",264528,37993,6962.55
"Acre",1200609,"Tarauacá",227963,35526,6416.78
"Acre",1200708,"Xapuri",117260,16016,7321.42
"Acre",1200807,"Porto Acre",114661,14806,7744.26
"Amazonas",1300029,"Alvarães",58365,14080,4145.22
"Amazonas",1300060,"Amaturá",36941,9657,3825.29
"Amazonas",1300086,"Anamã",51913,10193,5093.04
"Amazonas",1300102,"Anori",64424,16289,3955.06
"Amazonas",1300144,"Apuí",104518,18059,5787.57
"Amazonas",1300201,"Atalaia do Norte",68896,15149,4547.86
"Amazonas",1300300,"Autazes",154785,31876,4855.85
"Amazonas",1300409,"Barcelos",93663,25715,3642.34
"Amazonas",1300508,"Barreirinha",117983,27361,4312.08
"Amazonas",1300607,"Benjamin Constant",137141,33391,4107.13
"Amazonas",1300631,"Beruri",74008,15500,4774.69
"Amazonas",1300680,"Boa Vista do Ramos",55076,14921,3691.16
"Amazonas",1300706,"Boca do Acre",151889,29880,5083.29
"Amazonas",1300805,"Borba",156532,34452,4543.48
"Amazonas",1300839,"Caapiranga",66861,10909,6128.94
"Amazonas",1300904,"Canutama",49394,12727,3881.01
"Amazonas",1301001,"Carauari",129697,25700,5046.59
"Amazonas",1301100,"Careiro",143727,32631,4404.6
"Amazonas",1301159,"Careiro da Várzea",188023,23963,7846.37
"Amazonas",1301209,"Coari",1998793,75909,26331.44
"Amazonas",1301308,"Codajás",120603,23119,5216.63
"Amazonas",1301407,"Eirunepé",151777,30666,4949.36
"Amazonas",1301506,"Envira",71690,16328,4390.63
"Amazonas",1301605,"Fonte Boa",95662,22659,4221.81
"Amazonas",1301654,"Guajará",51646,14074,3669.58
"Amazonas",1301704,"Humaitá",217550,44116,4931.32
"Amazonas",1301803,"Ipixuna",69654,22199,3137.7
"Amazonas",1301852,"Iranduba",306446,40735,7522.91
"Amazonas",1301902,"Itacoatiara",849637,86840,9783.93
"Amazonas",1301951,"Itamarati",42985,8040,5346.36
"Amazonas",1302009,"Itapiranga",82029,8200,10003.53
"Amazonas",1302108,"Japurá",32590,7289,4471.09
"Amazonas",1302207,"Juruá",48747,10822,4504.41
"Amazonas",1302306,"Jutaí",89745,17964,4995.84
"Amazonas",1302405,"Lábrea",205325,37574,5464.54
"Amazonas",1302504,"Manacapuru",647440,85144,7604.06
"Amazonas",1302553,"Manaquiri",124714,22807,5468.23
"Amazonas",1302603,"Manaus",50168821,1802525,27832.52
"Amazonas",1302702,"Manicoré",251450,47011,5348.76
"Amazonas",1302801,"Maraã",65054,17364,3746.48
"Amazonas",1302900,"Maués",271611,51847,5238.7
"Amazonas",1303007,"Nhamundá",69664,18278,3811.38
"Amazonas",1303106,"Nova Olinda do Norte",128637,30761,4181.81
"Amazonas",1303205,"Novo Airão",73846,14780,4996.36
"Amazonas",1303304,"Novo Aripuanã",78084,21389,3650.66
"Amazonas",1303403,"Parintins",578337,102066,5666.31
"Amazonas",1303502,"Pauini",76686,18153,4224.43
"Amazonas",1303536,"Presidente Figueiredo",314535,27121,11597.48
"Amazonas",1303569,"Rio Preto da Eva",193863,25758,7526.33
"Amazonas",1303601,"Santa Isabel do Rio Negro",65376,18133,3605.38
"Amazonas",1303700,"Santo Antônio do Içá",83501,24487,3410.03
"Amazonas",1303809,"São Gabriel da Cachoeira",162583,37300,4358.8
"Amazonas",1303908,"São Paulo de Olivença",108879,31426,3464.62
"Amazonas",1303957,"São Sebastião do Uatumã",42613,10688,3986.98
"Amazonas",1304005,"Silves",48370,8445,5727.64
"Amazonas",1304062,"Tabatinga",237078,52279,4534.86
"Amazonas",1304104,"Tapauá",84359,19077,4422.04
"Amazonas",1304203,"Tefé",350169,61399,5703.17
"Amazonas",1304237,"Tonantins",58573,17056,3434.16
"Amazonas",1304260,"Uarini",78559,11906,6598.27
"Amazonas",1304302,"Urucará",102020,17019,5994.47
"Amazonas",1304401,"Urucurituba",73588,17731,4150.26
"Roraima",1400027,"Amajari",76901,9330,8242.36
"Roraima",1400050,"Alto Alegre",134967,16286,8287.33
"Roraima",1400100,"Boa Vista",5123256,284258,18023.26
"Roraima",1400159,"Bonfim",108568,10951,9913.94
"Roraima",1400175,"Cantá",124720,13778,9052.13
"Roraima",1400209,"Caracaraí",174394,18384,9486.16
"Roraima",1400233,"Caroebe",73318,8114,9035.99
"Roraima",1400282,"Iracema",76327,8676,8797.54
"Roraima",1400308,"Mucajaí",147252,14814,9940.08
"Roraima",1400407,"Normandia",74442,8926,8339.93
"Roraima",1400456,"Pacaraima",102814,10448,9840.51
"Roraima",1400472,"Rorainópolis",241465,25587,9437.01
"Roraima",1400506,"São João da Baliza",66010,6778,9738.9
"Roraima",1400605,"São Luiz",59706,6750,8845.36
"Roraima",1400704,"Uiramutã",55010,8147,6752.15
"Pará",1500107,"Abaetetuba",583793,141054,4138.79
"Pará",1500131,"Abel Figueiredo",53599,6792,7891.45
"Pará",1500206,"Acará",440767,53605,8222.51
"Pará",1500305,"Afuá",161293,35017,4606.14
"Pará",1500347,"Água Azul do Norte",180873,25061,7217.32
"Pará",1500404,"Alenquer",361813,52714,6863.69
"Pará",1500503,"Almeirim",576867,33665,17135.52
"Pará",1500602,"Altamira",842408,105030,8020.64
"Pará",1500701,"Anajás",95376,24771,3850.3
"Pará",1500800,"Ananindeua",4100513,471744,8692.24
"Pará",1500859,"Anapu",111551,20493,5443.39
"Pará",1500909,"Augusto Corrêa",133308,40499,3291.63
"Pará",1500958,"Aurora do Pará",212961,26579,8012.37
"Pará",1501006,"Aveiro",55948,15767,3548.43
"Pará",1501105,"Bagre",78845,23855,3305.18
"Pará",1501204,"Baião",169274,36907,4586.5
"Pará",1501253,"Bannach",34215,3434,9963.57
"Pará",1501303,"Barcarena",2227150,99800,22316.13
"Pará",1501402,"Belém",18801039,1392031,13506.19
"Pará",1501451,"Belterra",109871,16324,6730.66
"Pará",1501501,"Benevides",580847,51663,11242.99
"Pará",1501576,"Bom Jesus do Tocantins",86836,15246,5695.65
"Pará",1501600,"Bonito",56788,13630,4166.41
