state,id,name,qtd_usuarios,qtd_acessos_unicos,qtd_acessos_totais
São Paulo,3500105,Adamantina,0,0,0
São Paulo,3500204,Adolfo,0,0,0
São Paulo,3500303,Aguaí,0,0,0
São Paulo,3500402,Águas da Prata,0,0,0
São Paulo,3500501,Águas de Lindóia,0,0,0
São Paulo,3500550,Águas de Santa Bárbara,0,0,0
São Paulo,3500600,Águas de São Pedro,0,0,0
São Paulo,3500709,Agudos,0,0,0
São Paulo,3500758,Alambari,0,0,0
São Paulo,3500808,Alfredo Marcondes,0,0,0
São Paulo,3500907,Altair,0,0,0
São Paulo,3501004,Altinópolis,0,0,0
São Paulo,3501103,Alto Alegre,0,0,0
São Paulo,3501152,Alumínio,0,0,0
São Paulo,3501202,Álvares Florence,0,0,0
São Paulo,3501301,Álvares Machado,0,0,0
São Paulo,3501400,Álvaro de Carvalho,0,0,0
São Paulo,3501509,Alvinlândia,0,0,0
São Paulo,3501608,Americana,33,10,610
São Paulo,3501707,Américo Brasiliense,0,0,0
São Paulo,3501806,Américo de Campos,0,0,0
São Paulo,3501905,Amparo,0,0,0
São Paulo,3502002,Analândia,0,0,0
São Paulo,3502101,Andradina,0,0,0
São Paulo,3502200,Angatuba,0,0,0
São Paulo,3502309,Anhembi,0,0,0
São Paulo,3502408,Anhumas,0,0,0
São Paulo,3502507,Aparecida,0,0,0
São Paulo,3502606,Aparecida d'Oeste,0,0,0
São Paulo,3502705,Apiaí,0,0,0
São Paulo,3502754,Araçariguama,0,0,0
São Paulo,3502804,Araçatuba,0,0,0
São Paulo,3502903,Araçoiaba da Serra,0,0,0
São Paulo,3503000,Aramina,0,0,0
São Paulo,3503109,Arandu,0,0,0
São Paulo,3503158,Arapeí,0,0,0
São Paulo,3503208,Araraquara,1,1,3
São Paulo,3503307,Araras,47,2,85
São Paulo,3503356,Arco-Íris,0,0,0
São Paulo,3503406,Arealva,0,0,0
São Paulo,3503505,Areias,0,0,0
São Paulo,3503604,Areiópolis,0,0,0
São Paulo,3503703,Ariranha,0,0,0
São Paulo,3503802,Artur Nogueira,0,0,0
São Paulo,3503901,Arujá,0,0,0
São Paulo,3503950,Aspásia,0,0,0
São Paulo,3504008,Assis,63,6,147
São Paulo,3504107,Atibaia,237,45,1279
São Paulo,3504206,Auriflama,0,0,0
São Paulo,3504305,Avaí,0,0,0
São Paulo,3504404,Avanhandava,0,0,0
São Paulo,3504503,Avaré,509,33,1873
São Paulo,3504602,Bady Bassitt,0,0,0
São Paulo,3504701,Balbinos,0,0,0
São Paulo,3504800,Bálsamo,0,0,0
São Paulo,3504909,Bananal,0,0,0
São Paulo,3505005,Barão de Antonina,0,0,0
São Paulo,3505104,Barbosa,0,0,0
São Paulo,3505203,Bariri,0,0,0
São Paulo,3505302,Barra Bonita,0,0,0
