idade,sexo
51,Feminino
49,Feminino
34,Feminino
34,Feminino
58,Feminino
54,Feminino
34,Feminino
55,Feminino
41,Feminino
49,Feminino
54,Feminino
34,Feminino
34,Feminino
31,Feminino
22,Feminino
62,Feminino
54,Feminino
51,Feminino
62,Feminino
51,Feminino
54,Feminino
51,Feminino
34,Feminino
51,Feminino
34,Feminino
52,Feminino
52,Feminino
52,Feminino
52,Feminino
34,Feminino
34,Feminino
54,Feminino
52,Feminino
36,Feminino
49,Feminino
52,Feminino
36,Feminino
49,Feminino
31,Feminino
51,Feminino
52,Feminino
32,Feminino
31,Feminino
51,Feminino
51,Feminino
34,Feminino
51,Feminino
34,Feminino
53,Feminino
22,Feminino
71,Maculino
36,Maculino
38,Maculino
36,Maculino
36,Maculino
62,Maculino
36,Maculino
49,Maculino
37,Maculino
52,Maculino
59,Maculino
23,Maculino
66,Maculino
42,Maculino
37,Maculino
38,Maculino
37,Maculino
22,Maculino
43,Maculino
37,Maculino
23,Maculino
64,Maculino
36,Maculino
42,Maculino
36,Maculino
37,Maculino
38,Maculino
38,Maculino
68,Maculino
62,Maculino
36,Maculino
36,Maculino
22,Maculino
69,Maculino
54,Maculino
80,Maculino
77,Maculino
36,Maculino
37,Maculino
36,Maculino
36,Maculino
42,Maculino
22,Maculino
69,Maculino
37,Maculino
62,Maculino
62,Maculino
43,Maculino
51,Maculino
62,Maculino
